cui,cue,nombre_escuela,nombre_utm,perido,modelo,mac_address,ip_publica,latitud,longitud,direccion,bw_gb,clientes,wan_appliances,wan_carrier,access_points,bw_educacion,bw_web,bw_streaming,bw_calls,bw_socialmedia,bw_updates,bw_otros
1408559,140105600,INDEPENDENCIA ARGENTINA-CASEROS CENTRO,UTM - CASEROS CENTRO,mar-26,MX68,e4:55:a8:7d:2f:58,129.224.215.48,-3.156.157.213,-641.475.507.083,"-31.5615721300,-64.1475507083","0,63",13,1,Starlink,2,"0,18","0,14","0,11","0,08","0,05","0,04","0,03"
1409325,140317300,DALMACIO VELEZ SARSFIELD-CASEROS ESTE,UTM - CASEROS ESTE,mar-26,MX68,08:f1:b3:7a:55:69,129.224.215.48,-315.198,-640.453,"-31.5198,-64.0453","0,92",11,1,Starlink,2,"0,26","0,20","0,17","0,11","0,07","0,06","0,05"
1409060,140216200,FRAY MAMERTO ESQUIU-CASPICUCHANA,UTM - CASPICUCHANA,mar-26,MX68,6c:c3:b2:4e:e5:c1,148.227.74.96,-298.153,-64.068,"-29.8153,-64.0680","64,03",281,1,Starlink,2,"17,93","14,09","11,53","7,68","5,12","4,48","3,20"
1409439,140354400,PRESIDENTE SARMIENTO-CAYUQUEO,UTM - CAYUQUEO,mar-26,MX68,6c:c3:b2:4e:e3:cc,148.227.74.96,-3.280.094,-6.311.769,47VR5VXJ+JW,"111,11",203,1,Starlink,5,"31,11","24,44","20,00","13,33","8,89","7,78","5,56"
1408710,140138900,25 DE mayo-CERRO BOLA,UTM - CERRO BOLA,mar-26,MX68,6c:c3:b2:4e:e4:b5,148.227.74.96,-3.127.388.825,-653.393.955.495,"-31.27388825,-65.3393955495","1,14",9,1,Starlink,2,"0,32","0,25","0,21","0,14","0,09","0,08","0,06"
1409131,140236700,25 DE MAYO-CERRO COLORADO,UTM - CERRO COLORADO - 25 DE MAYO,mar-26,MX68,6c:c3:b2:4e:e5:52,148.227.74.96,-3.241.856,-6.468.719,47VQH8J7+H4,"73,29",157,1,Starlink,2,"20,52","16,12","13,19","8,79","5,86","5,13","3,66"
1408654,140124100,LUCIANO ARGÃœELLO-CERRO COLORADO,UTM - CERRO COLORADO - LUCIANO ARGÃœELLO,mar-26,MX68,6c:c3:b2:4e:e3:bb,148.227.74.96,-300.967.523,-639.328.505,"-30.0967523000,	-63.9328505000","30,39",44,1,Starlink,4,"8,51","6,69","5,47","3,65","2,43","2,13","1,52"
1408642,140119300,ENRIQUE E. PESCARMONA-CERRO PELADO,UTM - CERRO PELADO,mar-26,MX68,6c:c3:b2:4e:e5:86,148.227.74.96,-3.222.059,-6.463.912,-322.183.924,"5,07",47,1,Starlink,2,"1,42","1,12","0,91","0,61","0,41","0,35","0,25"
1408906,140182700,BARTOLOME MITRE-CERRO SAN LORENZO,UTM - CERRO SAN LORENZO,mar-26,MX68,9c:e3:30:bf:95:12,148.227.74.96,-3.245.419,-6.459.019,"GCW5+8W RÃ­o de los Sauces, CÃ³rdoba","7,29",40,1,Starlink,2,"2,04","1,60","1,31","0,87","0,58","0,51","0,36"
1408632,140118200,GUILLERMO MARTINEZ PIZARRO-CHAÃ‘AR VIEJO,UTM - CHAÃ‘AR VIEJO,mar-26,MX68,6c:c3:b2:4e:e2:5f,143.105.136.190,-299.990.457,-638.520.639,"-29.9990457000,	-63.8520639000","8,27",83,1,Starlink,2,"2,32","1,82","1,49","0,99","0,66","0,58","0,41"
1408364,140058900,ROSARIO VALENTINA NAVARRO-CHACRAS DE TIO PUJIO,UTM - CHACRAS DE TIO PUJIO,mar-26,MX68,e4:55:a8:7d:39:ab,143.105.136.190,-32.235.712,-63.277.925,"-32.235712,	-63.277925","15,23",54,1,Starlink,2,"4,26","3,35","2,74","1,83","1,22","1,07","0,76"
1408337,140055300,DOCTOR ARTURO CAPDEVILA-CHALACEA,UTM - CHALACEA,mar-26,MX68,08:f1:b3:7c:c7:8b,143.105.136.190,-307.604,-635.588,"-30.7604,-63.5588","3,53",57,1,Starlink,2,"0,99","0,78","0,64","0,42","0,28","0,25","0,18"
1409707,140468100,HAYDEE PONSSA LUQUE DE PACHECO-CHARACATO,UTM - CHARACATO,mar-26,MX68,6c:c3:b2:62:27:d0,148.222.223.154,-3.112.684.492,-647.382.336.472,"-31.1268449200,	-64.7382336472","6,42",33,1,Starlink,2,"1,80","1,41","1,16","0,77","0,51","0,45","0,32"
1409211,140263900,PAULA ALBARRACIN DE SARMIENTO-CHARBONIER,UTM - CHARBONIER - PAULA ALBARRACIN DE SARMIENTO,mar-26,MX68,e4:55:a8:7d:39:bb,148.222.223.154,-307.755.148,-645.435.044,"-30.7755148	,-64.5435044","2,06",49,1,Starlink,2,"0,58","0,45","0,37","0,25","0,16","0,14","0,10"
1409312,140312801,I.P.E.M. N 324 - JOSE MANUEL ESTRADA - ANEXO CHILIBROSTE-CHILIBROSTE,UTM - CHILIBROSTE - JOSE M. ESTRADA,mar-26,MX68,08:f1:b3:7b:7d:77,148.222.223.154,-3.233.206,-6.251.067,"MF9Q+5PG Chilibroste, CÃ³rdoba","12,46",132,1,Starlink,2,"3,49","2,74","2,24","1,50","1,00","0,87","0,62"
1408391,140281800,GENERAL MARTIN MIGUEL DE GUEMES-CHUÃ‘A,UTM - CHUÃ‘A,mar-26,MX68,6c:c3:b2:4e:e4:81,148.227.74.222,-304.692,-646.665,"-30.4692,-64.6665","15,04",69,1,Starlink,2,"4,21","3,31","2,71","1,80","1,20","1,05","0,75"
1409687,140447701,I.P.E.M. N 29 - FELIPE GALIZIA - ANEXO CHUCUL-CHUCUL,UTM - CHUCUL ANEXO,mar-26,MX68,e4:55:a8:7d:3a:48,148.227.74.222,-330.111,-641.688,"-33.0111,-64.1688","299,04",878,1,Starlink,5,"83,73","65,79","53,83","35,88","23,92","20,93","14,95"
1409219,140268100,BERNARDO DE MONTEAGUDO-CIENAGA DE ALLENDE,UTM - CIENAGA DE ALLENDE,mar-26,MX68,08:f1:b3:7d:25:f2,148.227.74.222,-317.459,-651.154,"-31.7459,-65.1154","16,48",93,1,Starlink,2,"4,61","3,63","2,97","1,98","1,32","1,15","0,82"
1409474,140564301,I.P.E.M. N 407 - ANEXO CIENAGA DE ALLENDE-CIENAGA DE ALLENDE,UTM - CIENAGA DE ALLENDE ANEXO,mar-26,MX68,6c:c3:b2:4d:1b:97,148.227.121.157,-317.446.749,-65.116.314,"-31.7446749000,	-65.1163140000","162,87",357,1,Starlink,4,"45,60","35,83","29,32","19,54","13,03","11,40","8,14"
1464951,140253000,NICOLAS RODRIGUEZ PEÃ‘A-CIENAGA DE BRITOS,UTM - CIENAGA DE BRITOS,mar-26,MX68,e4:55:a8:54:0f:7e,148.227.121.157,-312.512,-649.388,"-31.2512,-64.9388","14,52",192,1,Starlink,2,"4,07","3,19","2,61","1,74","1,16","1,02","0,73"
